['19 February 2022'],['N24 คูคต'],['N23 แยก คปอ.'],['1'],['19']

['23 January 2022'],['N23 แยก คปอ.'],['N4 สนามเป้า'],['19'],['45']

['31 July 2024'],['N20 สะพานใหม่'],['N4 สนามเป้า'],['16'],['45']

['20 March 2022'],['E13 บางนา'],['E18 โรงเรียนนายเรือ'],['5'],['27']

['3 May 2023'],['S11 วุฒากาศ'],['G3 คลองสาน'],['4'],['25']

['4 April 2025'],['E8 พระโขนง'],['E18 โรงเรียนนายเรือ'],['10'],['37']

['3 December 2022'],['N4 สนามเป้า'],['E7 เอกมัย'],['11'],['39']

['2 January 2023'],['E11 ปุณณวิถี'],['E17 ช้างเอราวัณ'],['6'],['29']



['1 January 2022'],['N24 คูคต'],['N20 สะพานใหม่'],['4'],['25']

['9 July 2022'],['N15 บางบัว'],['N11 รัชโยธิน'],['4'],['25']
